result_type,data_scope,method,W,latent_dim,compression_ratio_mean,cr_int8_estimated,encode_ms_mean,decode_ms_mean,mae_mean,rmse_mean,worst_abs_error,model_size_kb,safe_pass,safety_rejected_reason,notes
learned_compression,eps_only,weighted_fc_ae,16,8,72.0,288.0,0.43721667,0.5059,402389.25,3514979.5,454547936.0,1498.752,false,worst_case_error_exceeds_bound,safety_rejected; ranking=safe_pass_then_CR_then_encode_latency
learned_compression,eps_only,weighted_fc_ae,16,16,36.0,144.0,0.45346,0.47391667,406063.4375,2987511.25,454193728.0,1506.752,false,worst_case_error_exceeds_bound,safety_rejected; ranking=safe_pass_then_CR_then_encode_latency
learned_compression,eps_only,fc_ae,8,4,26.0,104.0,0.61978333,0.45968333,1.77291393,4.10732841,36.93613815,489.752,false,worst_case_error_exceeds_bound,safety_rejected; ranking=safe_pass_then_CR_then_encode_latency
learned_compression,eps_only,fc_ae,8,4,26.0,104.0,0.47174333,0.37974,1.63134253,3.68380904,43.46882629,489.752,false,worst_case_error_exceeds_bound,safety_rejected; ranking=safe_pass_then_CR_then_encode_latency
learned_compression,eps_only,fc_ae,8,4,26.0,104.0,0.68240333,0.30369,1.64649725,3.50333238,35.09241867,489.752,false,worst_case_error_exceeds_bound,safety_rejected; ranking=safe_pass_then_CR_then_encode_latency
learned_compression,eps_only,fc_ae,8,8,13.0,52.0,0.34696333,0.35713,1.73092604,3.91548491,35.79203415,493.002,false,worst_case_error_exceeds_bound,safety_rejected; ranking=safe_pass_then_CR_then_encode_latency
learned_compression,eps_only,fc_ae,8,8,13.0,52.0,0.46618,0.49363667,1.59401548,3.41764951,33.92998123,493.002,false,worst_case_error_exceeds_bound,safety_rejected; ranking=safe_pass_then_CR_then_encode_latency
learned_compression,eps_only,fc_ae,8,8,13.0,52.0,0.35594,0.34920333,1.59038067,3.58677268,34.81250763,493.002,false,worst_case_error_exceeds_bound,safety_rejected; ranking=safe_pass_then_CR_then_encode_latency
learned_compression,eps_only,fc_ae,8,16,6.5,26.0,0.26851333,0.29205,1.7393496,4.2307744,58.55846405,499.502,false,worst_case_error_exceeds_bound,safety_rejected; ranking=safe_pass_then_CR_then_encode_latency
learned_compression,eps_only,fc_ae,8,16,6.5,26.0,0.32873,0.29629,1.63569069,3.73572183,47.35748672,499.502,false,worst_case_error_exceeds_bound,safety_rejected; ranking=safe_pass_then_CR_then_encode_latency
learned_compression,eps_only,fc_ae,8,16,6.5,26.0,0.25548,0.27521667,1.62054181,3.64328408,36.55220795,499.502,false,worst_case_error_exceeds_bound,safety_rejected; ranking=safe_pass_then_CR_then_encode_latency
