split,W,method,n_chunks,original_bytes,compressed_bytes,compression_ratio,bits_per_sample,encode_ms,decode_ms,throughput_bytes_per_sec,bit_exact_reconstruction,num_samples,codec,description,quantization,delta_axis,note,rice_k,standards_compliance,library,level
test,8,ccsds124_proxy_delta_rice,639,741240,19900064,0.03724812141307686,865.0697270039993,18896.629965996908,20288.895111012607,39226.04196271011,False,184032,,,,,CCSDS-124-family proxy only; not a compliant CCSDS 124 implementation.,,False,,
test,8,delta_int16,639,741240,885015,0.8375451263537906,38.47222222222222,12.25538800281356,15.061213007356855,60482785.19046708,False,184032,delta_int16,,int16_per_channel_scale_from_norm_train_bounds,time,Lossless for quantized int16 representation; float32 may differ after round-trip.,,,,
test,8,delta_rice,639,741240,11035296,0.06716992457655871,479.7120500782473,9208.750700990095,9831.470893002916,80493.00323878942,False,184032,delta_rice_proxy,,,,Rice/Golomb-style proxy over signed deltas; not a standards-compliant Rice coder.,4.0,False,,
test,8,lz4,639,741240,471743,1.5712792770639945,20.50699878282038,1.7304639968642732,0.6493990031231078,428347542.2448435,True,184032,lz4,,,,,,,lz4.frame,
test,8,raw,639,741240,741240,1.0,32.22222222222222,0.047102987991820555,0.0557750063308049,15736581299.868206,True,184032,raw,No compression (identity).,,,,,,,
test,8,zstd_level_1,639,741240,397478,1.8648579292438827,17.278647191792732,14.019573009136366,3.459660008047649,52871795.70425889,True,184032,zstd,,,,,,,zstandard,1.0
test,8,zstd_level_3,639,741240,383508,1.9327888857598798,16.671361502347416,18.11282899689104,22.04319899010443,40923480.265133046,True,184032,zstd,,,,,,,zstandard,3.0
test,8,zstd_level_9,639,741240,376610,1.9681899046759248,16.37150060858981,102.96021900376218,26.478840002710058,7199285.385872334,True,184032,zstd,,,,,,,zstandard,9.0
test,16,ccsds124_proxy_delta_rice,318,735216,19670057,0.0373774209195225,859.1045160726765,12135.012804997132,12934.760366001683,60586.33903519592,False,183168,,,,,CCSDS-124-family proxy only; not a compliant CCSDS 124 implementation.,,False,,
test,16,delta_int16,318,735216,806766,0.9113125739061884,35.236111111111114,3.4521760026109405,5.377912994845246,212971760.25902024,False,183168,delta_int16,,int16_per_channel_scale_from_norm_train_bounds,time,Lossless for quantized int16 representation; float32 may differ after round-trip.,,,,
test,16,delta_rice,318,735216,10863112,0.0676800533769697,474.45457721872816,6780.2553379997335,7261.143871008244,108434.85434530827,False,183168,delta_rice_proxy,,,,Rice/Golomb-style proxy over signed deltas; not a standards-compliant Rice coder.,4.0,False,,
test,16,lz4,318,735216,430206,1.7089859276718595,18.789570230607968,1.5674970009058597,0.4659569931391161,469038217.983905,True,183168,lz4,,,,,,,lz4.frame,
test,16,raw,318,735216,735216,1.0,32.111111111111114,0.02332000349269947,0.027362999389879405,31527268005.34853,True,183168,raw,No compression (identity).,,,,,,,
test,16,zstd_level_1,318,735216,347798,2.113916698773426,15.19033892382949,5.809987997054122,4.213454990349419,126543462.80453274,True,183168,zstd,,,,,,,zstandard,1.0
test,16,zstd_level_3,318,735216,342550,2.146302729528536,14.9611285814116,6.1920919970361865,3.253653996580397,118734670.01974574,True,183168,zstd,,,,,,,zstandard,3.0
test,16,zstd_level_9,318,735216,335318,2.192593299494808,14.645265548567435,24.635362984554376,3.0743770194021636,29843928.033898186,True,183168,zstd,,,,,,,zstandard,9.0
test,32,ccsds124_proxy_delta_rice,159,733944,19579521,0.037485288838271374,855.1502882599581,12600.452453999424,13582.87101699625,58247.432199709925,False,183168,,,,,CCSDS-124-family proxy only; not a compliant CCSDS 124 implementation.,,False,,
test,32,delta_int16,159,733944,769719,0.9535219995868622,33.61805555555556,2.122824996149575,3.4758339998006704,345739286.7199337,False,183168,delta_int16,,int16_per_channel_scale_from_norm_train_bounds,time,Lossless for quantized int16 representation; float32 may differ after round-trip.,,,,
test,32,delta_rice,159,733944,10789607,0.06802323754702094,471.24419112508735,6887.922388998959,7448.765154994362,106555.20758657476,False,183168,delta_rice_proxy,,,,Rice/Golomb-style proxy over signed deltas; not a standards-compliant Rice coder.,4.0,False,,
test,32,lz4,159,733944,402593,1.8230421293961891,17.58355171208945,1.5304290036510793,0.4042570008095936,479567492.67627645,True,183168,lz4,,,,,,,lz4.frame,
test,32,raw,159,733944,733944,1.0,32.05555555555556,0.012933006473758724,0.015402994904434308,56749681637.381386,True,183168,raw,No compression (identity).,,,,,,,
test,32,zstd_level_1,159,733944,317280,2.3132375189107415,13.857442348008385,3.649926005891757,1.6851069949552766,201084624.4047847,True,183168,zstd,,,,,,,zstandard,1.0
test,32,zstd_level_3,159,733944,313119,2.3439778486773397,13.67570754716981,3.969875995608163,1.5487769996980205,184878318.82203764,True,183168,zstd,,,,,,,zstandard,3.0
test,32,zstd_level_9,159,733944,305997,2.3985333189541076,13.364648846960169,23.05115899980592,1.6637500029901275,31839787.318554327,True,183168,zstd,,,,,,,zstandard,9.0
test,64,ccsds124_proxy_delta_rice,79,728696,19469754,0.03742707791788227,855.7381329113924,12528.198028006955,13312.710607995541,58164.47013137806,False,182016,,,,,CCSDS-124-family proxy only; not a compliant CCSDS 124 implementation.,,False,,
test,64,delta_int16,79,728696,746471,0.9761879563975023,32.80902777777778,1.184507997095352,2.104459993461205,615188754.9825808,False,182016,delta_int16,,int16_per_channel_scale_from_norm_train_bounds,time,Lossless for quantized int16 representation; float32 may differ after round-trip.,,,,
test,64,delta_rice,79,728696,10721645,0.06796494381226015,471.2396712376934,6871.549120003692,7235.040026999741,106045.37452533098,False,182016,delta_rice_proxy,,,,Rice/Golomb-style proxy over signed deltas; not a standards-compliant Rice coder.,4.0,False,,
test,64,lz4,79,728696,372448,1.95650399518859,16.369901547116736,1.6059210011007963,0.3679169958559214,453755819.558065,True,182016,lz4,,,,,,,lz4.frame,
test,64,raw,79,728696,728696,1.0,32.02777777777778,0.00978299885900924,0.010196003131568432,74485953693.93692,True,182016,raw,No compression (identity).,,,,,,,
test,64,zstd_level_1,79,728696,289256,2.5192078988854165,12.713431786216596,3.137181002784928,1.5256939977916772,232277321.37646008,True,182016,zstd,,,,,,,zstandard,1.0
test,64,zstd_level_3,79,728696,284366,2.562528572332839,12.498505625879044,4.754248006975104,2.3085490001903963,153272609.87035334,True,182016,zstd,,,,,,,zstandard,3.0
test,64,zstd_level_9,79,728696,276701,2.633514154267603,12.161612165963431,35.281040998597746,1.4717369977006456,20654039.092241134,True,182016,zstd,,,,,,,zstandard,9.0
