channel,train_min,train_max,train_mean,train_std,train_diff_std,noise_floor_3sigma,relative_range_1_percent,final_bound_used,bound_source
ibatt_ma,-2.147075653076172,3.5980782508850098,0.18261704958467206,0.6379983506378557,0.8580919795890316,2.574275938767095,0.05745153903961182,2.574275938767095,"max(noise_floor_3sigma,relative_range_1_percent)->noise_floor_3sigma; conservative_data_derived_operational_proxy; dataset=eps_only_primary"
imx_ma,-0.12496647983789444,13.499597549438477,0.9612950965107966,2.088955516944539,2.90257231903157,8.70771695709471,0.1362456402927637,8.70771695709471,"max(noise_floor_3sigma,relative_range_1_percent)->noise_floor_3sigma; conservative_data_derived_operational_proxy; dataset=eps_only_primary"
imz_ma,-0.1666070818901062,16.664640426635742,1.1388165685810128,2.3091726699178836,3.2101346078212063,9.630403823463618,0.16831247508525848,9.630403823463618,"max(noise_floor_3sigma,relative_range_1_percent)->noise_floor_3sigma; conservative_data_derived_operational_proxy; dataset=eps_only_primary"
ipx_ma,0.0,7.570947170257568,0.8185955232843237,1.4506572157225066,1.9105167732288508,5.731550319686552,0.07570947170257568,5.731550319686552,"max(noise_floor_3sigma,relative_range_1_percent)->noise_floor_3sigma; conservative_data_derived_operational_proxy; dataset=eps_only_primary"
ipy_ma,-0.9992852210998535,37.6490364074707,2.277019603242823,5.664583859457842,7.717373308345721,23.152119925037162,0.3864832162857056,23.152119925037162,"max(noise_floor_3sigma,relative_range_1_percent)->noise_floor_3sigma; conservative_data_derived_operational_proxy; dataset=eps_only_primary"
ipz_ma,-0.4997318983078003,25.492225646972656,1.1420121167813884,3.0842535961881636,4.217437779656841,12.652313338970522,0.2599195754528046,12.652313338970522,"max(noise_floor_3sigma,relative_range_1_percent)->noise_floor_3sigma; conservative_data_derived_operational_proxy; dataset=eps_only_primary"
tbatt_c,-7.101827621459961,5.20104455947876,-0.10874795645348048,1.9054069233082245,2.4302453576520233,7.29073607295607,0.1230287218093872,7.29073607295607,"max(noise_floor_3sigma,relative_range_1_percent)->noise_floor_3sigma; conservative_data_derived_operational_proxy; dataset=eps_only_primary"
tmx_c,-1.3476983308792114,4.548971652984619,0.011078552030865383,0.6577916900930587,0.7771231290491821,2.3313693871475465,0.05896669983863831,2.3313693871475465,"max(noise_floor_3sigma,relative_range_1_percent)->noise_floor_3sigma; conservative_data_derived_operational_proxy; dataset=eps_only_primary"
tmz_c,-1.25448477268219,3.8335418701171875,0.07325987866564701,0.7144754264389933,0.8733659043760588,2.6200977131281764,0.05088026642799377,2.6200977131281764,"max(noise_floor_3sigma,relative_range_1_percent)->noise_floor_3sigma; conservative_data_derived_operational_proxy; dataset=eps_only_primary"
tpx_c,-1.2021592855453491,2.9456441402435303,-0.028313608662734507,0.5826106092666893,0.7761759431909923,2.3285278295729768,0.0414780342578888,2.3285278295729768,"max(noise_floor_3sigma,relative_range_1_percent)->noise_floor_3sigma; conservative_data_derived_operational_proxy; dataset=eps_only_primary"
tpy_c,-1.217943787574768,3.251829147338867,-0.0027336784159850787,0.7054939625964591,0.8752200158320008,2.6256600474960026,0.04469772934913635,2.6256600474960026,"max(noise_floor_3sigma,relative_range_1_percent)->noise_floor_3sigma; conservative_data_derived_operational_proxy; dataset=eps_only_primary"
tpz_c,-1.2430880069732666,2.3910233974456787,-0.01264329971010602,0.6671190052528038,0.8972119281839281,2.691635784551784,0.03634111404418945,2.691635784551784,"max(noise_floor_3sigma,relative_range_1_percent)->noise_floor_3sigma; conservative_data_derived_operational_proxy; dataset=eps_only_primary"
vbat_v,-26.0625,0.3125,-0.3296749329758713,0.6151511885140297,0.7698008021129846,2.309402406338954,0.26375,2.309402406338954,"max(noise_floor_3sigma,relative_range_1_percent)->noise_floor_3sigma; conservative_data_derived_operational_proxy; dataset=eps_only_primary"
