board,method,W,n_chunks,bytes_in,bytes_out,compression_ratio,encode_us_mean,encode_us_p95,decode_us_mean,decode_us_p95,encode_ms_mean,encode_ms_p95,decode_ms_mean,decode_ms_p95,throughput_bytes_per_sec,ram_bytes,flash_bytes,model_size_kb,energy_status,profile_status,backend,model_path,notes,source_file
raspberry_pi_4,onnx_fc_ae_eps_W32_z8_seed2,32,128,106496.0,,,429.5941132923531,482.9077497561229,,,0.4295941132923531,0.4829077497561229,,,3873423.6538934894,,,1103.921875,not_measured_proxy_only,ok,onnxruntime,/home/pi/t5_work/t5_pi4_profile/models_onnx/fc_ae_eps_W32_z8_seed2.onnx,full_forward_pass; input_shape=1x32x13; timed_calls=256,t5_pi4_profile.csv
raspberry_pi_4,onnx_tcn_ae_eps_W32_z32_seed3,32,128,106496.0,,,331.2031366640156,370.5977503614122,,,0.3312031366640156,0.3705977503614122,,,5024107.008044497,,,505.681640625,not_measured_proxy_only,ok,onnxruntime,/home/pi/t5_work/t5_pi4_profile/models_onnx/tcn_ae_eps_W32_z32_seed3.onnx,full_forward_pass; input_shape=1x32x13; timed_calls=256,t5_pi4_profile.csv
raspberry_pi_4,onnx_weighted_fc_ae_eps_W32_z8_seed2,32,128,106496.0,,,437.9446796747288,489.3884993180108,,,0.4379446796747288,0.4893884993180108,,,3799566.651285476,,,1103.921875,not_measured_proxy_only,ok,onnxruntime,/home/pi/t5_work/t5_pi4_profile/models_onnx/weighted_fc_ae_eps_W32_z8_seed2.onnx,full_forward_pass; input_shape=1x32x13; timed_calls=256,t5_pi4_profile.csv
raspberry_pi_4,raw,32,128,106496.0,106496.0,1.0,0.3208229225985,0.4260000423528,0.26857289962360004,0.3889999788952,0.0003208229225985,0.0004260000423528,0.0002685728996236,0.0003889999788952,2593330904.3541656,832.0,,0.0,not_measured_proxy_only,ok,python_cpu,,sha256=28ed998cb0b12084d5ac8fc952d1a8357d09f48a9d7d3a2a3b03210196502275,t5_pi4_profile.csv
raspberry_pi_4,zstd_level_1,32,128,106496.0,79203.0,1.3445955329974877,30.9092369761287,34.3700003213598,8.2540286072685,13.330299543667898,0.0309092369761287,0.0343700003213598,0.0082540286072685,0.0133302995436679,26917519.85474613,792.0,,0.0,not_measured_proxy_only,ok,python_cpu,,sha256=28ed998cb0b12084d5ac8fc952d1a8357d09f48a9d7d3a2a3b03210196502275,t5_pi4_profile.csv
raspberry_pi_4,zstd_level_3,32,128,106496.0,77756.0,1.3696177786923196,34.5399348897027,39.3853000332455,6.2767995151110005,9.6668500191298,0.0345399348897027,0.0393853000332455,0.006276799515111,0.0096668500191298,24088059.30459469,785.0,,0.0,not_measured_proxy_only,ok,python_cpu,,sha256=28ed998cb0b12084d5ac8fc952d1a8357d09f48a9d7d3a2a3b03210196502275,t5_pi4_profile.csv
raspberry_pi_4,zstd_level_9,32,128,106496.0,76088.0,1.3996425191883082,69.7151250103426,81.17020001918709,6.8588463714528,8.018850303415,0.0697151250103426,0.0811702000191871,0.0068588463714528,0.008018850303415,11934282.551692592,772.0,,0.0,not_measured_proxy_only,ok,python_cpu,,sha256=28ed998cb0b12084d5ac8fc952d1a8357d09f48a9d7d3a2a3b03210196502275,t5_pi4_profile.csv
stm32f413zh,delta_int16,16,128,53248.0,53248.0,1.0,167.0,167.0,144.141,144.156,0.167,0.167,0.144141,0.144156,318850299.4011976,12528.0,0.0,,not_measured_proxy_only,ok,stm32_hal_c,,energy_status=not_measured_proxy_only; timer=dwt; checksum=457064120; normalized_from_total_to_per_chunk=true,stm32f413zh_profile_final.csv
stm32f413zh,raw_copy,16,128,53248.0,53248.0,1.0,132.133,132.141,125.0,125.008,0.132133,0.13214099999999998,0.125,0.125008,402987898.55675715,12528.0,0.0,,not_measured_proxy_only,ok,stm32_hal_c,,energy_status=not_measured_proxy_only; timer=dwt; checksum=228532060; normalized_from_total_to_per_chunk=true,stm32f413zh_profile_final.csv
stm32f413zh,simple_predictor_pack,16,128,53248.0,51525.0,1.03344,246.961,247.023,197.797,197.883,0.246961,0.247023,0.197797,0.197883,215612991.5249776,12528.0,0.0,,not_measured_proxy_only,ok,stm32_hal_c,,energy_status=not_measured_proxy_only; timer=dwt; checksum=685596180; normalized_from_total_to_per_chunk=true,stm32f413zh_profile_final.csv
stm32f429zi,delta_int16,16,128,53248.0,53248.0,1.0,117.0,117.0,101.102,101.109,0.117,0.117,0.101102,0.10110899999999999,455111111.1111111,12528.0,0.0,,not_measured_proxy_only,ok,stm32_hal_c,,energy_status=not_measured_proxy_only; timer=dwt; checksum=457064120; normalized_from_total_to_per_chunk=true,stm32f429zi_profile_final.csv
stm32f429zi,raw_copy,16,128,53248.0,53248.0,1.0,93.234,93.258,88.0,88.0,0.093234,0.093258,0.088,0.088,571122122.830727,12528.0,0.0,,not_measured_proxy_only,ok,stm32_hal_c,,energy_status=not_measured_proxy_only; timer=dwt; checksum=228532060; normalized_from_total_to_per_chunk=true,stm32f429zi_profile_final.csv
stm32f429zi,simple_predictor_pack,16,128,53248.0,51525.0,1.03344,172.344,172.383,138.648,138.688,0.172344,0.172383,0.138648,0.13868799999999998,308963468.4120132,12528.0,0.0,,not_measured_proxy_only,ok,stm32_hal_c,,energy_status=not_measured_proxy_only; timer=dwt; checksum=685596180; normalized_from_total_to_per_chunk=true,stm32f429zi_profile_final.csv
