timestamp,board,method,W,n_chunks,bytes_in,bytes_out,compression_ratio,encode_us_mean,encode_us_p95,decode_us_mean,decode_us_p95,ram_bytes,flash_bytes,status,notes
1777486577.8797097,stm32f429zi,raw_copy,16,128,53248,53248,1.000000,93.234,93.258,88.000,88.000,12528,0,ok,energy_status=not_measured_proxy_only;timer=dwt;checksum=228532060;normalized_from_total_to_per_chunk=true
1777486579.1120813,stm32f429zi,delta_int16,16,128,53248,53248,1.000000,117.000,117.000,101.102,101.109,12528,0,ok,energy_status=not_measured_proxy_only;timer=dwt;checksum=457064120;normalized_from_total_to_per_chunk=true
1777486580.7483761,stm32f429zi,simple_predictor_pack,16,128,53248,51525,1.033440,172.344,172.383,138.648,138.688,12528,0,ok,energy_status=not_measured_proxy_only;timer=dwt;checksum=685596180;normalized_from_total_to_per_chunk=true
